Squad,Pts,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,74,25,25.8,56.9,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826
Aston Villa,66,28,27,50.5,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93,720,1344
Bournemouth,56,29,25.1,48.5,57,41,98,51,6,7,97,3,64,58.5,43.8,102.3,754,1489
Brentford,56,28,25.8,47.9,65,44,109,60,5,6,62,1,59,54.4,42.4,96.8,598,1356
Brighton,61,32,24.8,52.3,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539
Chelsea,69,29,23.7,57.1,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595
Crystal Palace,53,29,26.2,42.8,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,507,1159
Everton,48,26,28,40.9,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041
Fulham,54,26,28.1,52.3,53,44,97,50,3,4,80,2,49,45.9,37.5,83.4,786,1558
Ipswich Town,22,32,25.8,40.6,35,26,61,33,2,2,92,5,34.4,32.8,24.2,57,513,935
Leicester City,25,32,26.6,45.4,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082
Liverpool,84,24,27.2,57.7,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,825,1924
Manchester City,71,30,26.8,61.3,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944
Manchester Utd,42,31,25.5,53.5,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448
Newcastle Utd,66,24,27.4,51.3,66,50,116,61,5,6,68,1,63.8,59.5,46,105.5,759,1595
Nott'ham Forest,65,23,26.1,41.2,57,42,99,54,3,3,90,2,45.5,43.2,33,76.2,633,1125
Southampton,12,36,25.2,48.5,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127
Tottenham,38,31,25,54.7,61,47,108,58,3,4,72,1,58.8,55.6,44.4,100,841,1593
West Ham,43,27,28.1,48.4,43,29,72,40,3,3,82,3,47,44.7,33.9,78.6,632,1222
Wolves,42,32,26.9,48.1,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185
